App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Installs_num,Price_num,Size_MB,Primary_Genre
JusTalk - Free Video Calls and Fun Video Chat,COMMUNICATION,4.6,191032,26M,"5,000,000+",Free,0,Everyone,Communication,2018-08-04,7.2.29,4.0.3 and up,5000000.0,0.0,26.0,Communication
"Moco+ - Chat, Meet People",DATING,4.2,1545,Varies with device,"10,000+",Paid,$3.99,Mature 17+,Dating,2018-06-19,2.6.139,4.1 and up,10000.0,3.99,,Dating
Calculator,DATING,2.6,57,6.2M,"1,000+",Paid,$6.99,Everyone,Dating,2017-10-25,1.1.6,4.0 and up,1000.0,6.99,6.2,Dating
Truth or Dare Pro,DATING,,0,20M,50+,Paid,$1.49,Teen,Dating,2017-09-01,1.0,4.0 and up,50.0,1.49,20.0,Dating
"Private Dating, Hide App- Blue for PrivacyHider",DATING,,0,18k,100+,Paid,$2.99,Everyone,Dating,2017-07-25,1.0.1,4.0 and up,100.0,2.99,0.017578125,Dating
Ad Blocker for SayHi,DATING,,4,1.2M,100+,Paid,$3.99,Teen,Dating,2018-08-02,1.2,4.0.3 and up,100.0,3.99,1.2,Dating
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100+,Paid,$7.99,Mature 17+,Dating,2017-01-21,1.0.1,4.0 and up,100.0,7.99,17.0,Dating
Zoosk Dating App: Meet Singles,DATING,4.0,516801,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,2018-08-02,Varies with device,Varies with device,10000000.0,0.0,,Dating
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",Free,0,Mature 17+,Dating,2018-07-30,11.10.1,4.1 and up,10000000.0,0.0,15.0,Dating
Match™ Dating - Meet Singles,DATING,3.7,76646,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,2018-07-23,Varies with device,Varies with device,10000000.0,0.0,,Dating
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0,Mature 17+,Dating,2018-08-01,2.5.2,4.1 and up,100000.0,0.0,56.0,Dating
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0,Mature 17+,Dating,2018-08-03,6.1.3,5.0 and up,500000.0,0.0,12.0,Dating
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",Free,0,Mature 17+,Dating,2018-07-31,4.17.2,4.1 and up,5000000.0,0.0,11.0,Dating
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-27,3.5.0.1,4.1 and up,1000000.0,0.0,29.0,Dating
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,2018-08-04,2.6.141,4.1 and up,10000000.0,0.0,,Dating
CMB Free Dating App,DATING,4.0,48845,40M,"1,000,000+",Free,0,Mature 17+,Dating,2018-08-01,4.19.0.2320,4.4 and up,1000000.0,0.0,40.0,Dating
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,2018-08-02,Varies with device,Varies with device,10000000.0,0.0,,Dating
eharmony - Online Dating App,DATING,3.1,31320,53M,"5,000,000+",Free,0,Mature 17+,Dating,2018-07-30,6.6.5,4.1 and up,5000000.0,0.0,53.0,Dating
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",Free,0,Mature 17+,Dating,2018-08-04,1.639,4.0 and up,5000000.0,0.0,3.1,Dating
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195,24M,"100,000+",Free,0,Mature 17+,Dating,2018-07-25,1.6.1,4.4 and up,100000.0,0.0,24.0,Dating
Clover Dating App,DATING,4.1,11633,23M,"500,000+",Free,0,Mature 17+,Dating,2018-07-24,2.5.1,4.1 and up,500000.0,0.0,23.0,Dating
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-25,1.9.7,4.4 and up,1000000.0,0.0,5.0,Dating
Mingle2 - Free Online Dating & Singles Chat Rooms,DATING,4.3,37053,44M,"1,000,000+",Free,0,Mature 17+,Dating,2018-08-03,4.4B,4.1 and up,1000000.0,0.0,44.0,Dating
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0,Mature 17+,Dating,2018-08-03,1.308.us,4.1 and up,10000.0,0.0,27.0,Dating
stranger chat - anonymous chat,DATING,3.5,13202,6.1M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-07,2.4.1,4.1 and up,1000000.0,0.0,6.1,Dating
"Blendr - Chat, Flirt & Meet",DATING,4.0,28671,Varies with device,"1,000,000+",Free,0,Mature 17+,Dating,2018-08-01,Varies with device,Varies with device,1000000.0,0.0,,Dating
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating,2017-01-27,5.0.1,4.2 and up,100000.0,0.0,21.0,Dating
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",Free,0,Mature 17+,Dating,2018-07-31,4.17.2,4.1 and up,10000000.0,0.0,11.0,Dating
Once - Quality Matches Every day,DATING,4.4,222888,21M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-17,2.45,4.1 and up,1000000.0,0.0,21.0,Dating
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",Free,0,Mature 17+,Dating,2018-07-25,1.6.1,4.4 and up,100000.0,0.0,24.0,Dating
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31M,"500,000+",Free,0,Mature 17+,Dating,2018-07-03,4.5.5,4.1 and up,500000.0,0.0,31.0,Dating
Howlr,DATING,3.9,105,27M,"5,000+",Free,0,Mature 17+,Dating,2018-06-19,1.0.4,4.4 and up,5000.0,0.0,27.0,Dating
Stranger Chat & Date,DATING,3.6,3414,6.2M,"500,000+",Free,0,Mature 17+,Dating,2018-06-06,1.2.1,4.1 and up,500000.0,0.0,6.2,Dating
Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42194,Varies with device,"5,000,000+",Free,0,Mature 17+,Dating,2018-07-24,Varies with device,Varies with device,5000000.0,0.0,,Dating
RandoChat - Chat roulette,DATING,3.6,11806,12M,"1,000,000+",Free,0,Mature 17+,Dating,2018-06-26,4.0.18,4.0.3 and up,1000000.0,0.0,12.0,Dating
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0M,"100,000+",Free,0,Mature 17+,Dating,2017-02-03,1.6.5,4.2 and up,100000.0,0.0,8.0,Dating
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-27,1.31.4,4.0.3 and up,1000000.0,0.0,5.9,Dating
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-10,1.230,4.0.3 and up,1000000.0,0.0,7.9,Dating
OurTime Dating for Singles 50+,DATING,3.4,2519,5.0M,"100,000+",Free,0,Mature 17+,Dating,2018-07-25,1.9.7,4.4 and up,100000.0,0.0,5.0,Dating
FarmersOnly Dating,DATING,3.0,1146,1.4M,"100,000+",Free,0,Mature 17+,Dating,2016-02-25,2.2,4.0 and up,100000.0,0.0,1.4,Dating
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13M,"500,000+",Free,0,Mature 17+,Dating,2018-07-31,4.17.2,4.1 and up,500000.0,0.0,13.0,Dating
Sudy – Meet Elite & Rich Single,DATING,4.1,17268,40M,"500,000+",Free,0,Mature 17+,Dating,2018-06-25,4.1.2,4.0.3 and up,500000.0,0.0,40.0,Dating
Christian Dating For Free App,DATING,3.9,8722,13M,"500,000+",Free,0,Mature 17+,Dating,2018-06-20,15.8,4.1 and up,500000.0,0.0,13.0,Dating
Just She - Top Lesbian Dating,DATING,1.9,953,19M,"100,000+",Free,0,Mature 17+,Dating,2018-07-18,6.3.7,5.0 and up,100000.0,0.0,19.0,Dating
Single Parent Meet #1 Dating,DATING,3.5,2593,5.0M,"500,000+",Free,0,Mature 17+,Dating,2018-07-25,1.9.7,4.4 and up,500000.0,0.0,5.0,Dating
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,19M,"500,000+",Free,0,Mature 17+,Dating,2018-07-31,4.8.5,4.0.3 and up,500000.0,0.0,19.0,Dating
Millionaire Match: Rich Singles Dating App,DATING,3.9,852,27M,"100,000+",Free,0,Mature 17+,Dating,2018-07-30,6.4.6,4.1 and up,100000.0,0.0,27.0,Dating
InterracialCupid - Interracial Dating App,DATING,3.4,212,3.0M,"50,000+",Free,0,Mature 17+,Dating,2018-06-13,2.3.0.1781,5.0 and up,50000.0,0.0,3.0,Dating
Sugar Mommas Dating And Single Search,DATING,3.5,1972,13M,"1,000,000+",Free,0,Mature 17+,Dating,2018-05-12,4.3,4.1 and up,1000000.0,0.0,13.0,Dating
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2M,"1,000,000+",Free,0,Everyone,Dating,2018-05-21,2.9.6,4.0 and up,1000000.0,0.0,7.2,Dating
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5164,25M,"100,000+",Free,0,Mature 17+,Dating,2018-07-24,3.8.75a,4.0.3 and up,100000.0,0.0,25.0,Dating
NoBuffDating - Free Dating App,DATING,4.2,1939,Varies with device,"100,000+",Free,0,Mature 17+,Dating,2017-01-08,1.0.0,4.0 and up,100000.0,0.0,,Dating
Sugar Daddy Dating App,DATING,2.5,277,5.7M,"100,000+",Free,0,Mature 17+,Dating,2017-12-04,3.0.0,4.1 and up,100000.0,0.0,5.7,Dating
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",Free,0,Teen,Dating,2017-11-06,1.0,4.0.3 and up,10000.0,0.0,5.5,Dating
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825,Varies with device,"100,000+",Free,0,Mature 17+,Dating,2017-12-28,1.0.5,4.0 and up,100000.0,0.0,,Dating
"Meet4U - Chat, Love, Singles!",DATING,4.2,40035,6.5M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-27,1.31.3,4.0.3 and up,1000000.0,0.0,6.5,Dating
SnpCupid Dating,DATING,3.5,1093,5.8M,"100,000+",Free,0,Mature 17+,Dating,2017-01-28,1.6.6,4.2 and up,100000.0,0.0,5.8,Dating
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,2018-07-07,Varies with device,Varies with device,10000000.0,0.0,,Dating
Adult Dating - AdultFinder,DATING,3.3,1601,3.8M,"500,000+",Free,0,Mature 17+,Dating,2017-02-01,1.5,4.1 and up,500000.0,0.0,3.8,Dating
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",Free,0,Mature 17+,Dating,2018-06-20,2.0.5,4.0.3 and up,100000.0,0.0,41.0,Dating
"Meet24 - Love, Chat, Singles",DATING,4.2,57081,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-27,1.31.3,4.0.3 and up,1000000.0,0.0,7.9,Dating
BBWCupid - BBW Dating App,DATING,3.5,241,2.8M,"50,000+",Free,0,Mature 17+,Dating,2018-06-01,2.2.0.1748,5.0 and up,50000.0,0.0,2.8,Dating
ChatVideo Meet new people,DATING,4.2,63986,20M,"5,000,000+",Free,0,Mature 17+,Dating,2018-05-31,3.0.15,4.0 and up,5000000.0,0.0,20.0,Dating
"TryDate - Free Online Dating App, Chat Meet Adults",DATING,4.4,7888,15M,"500,000+",Free,0,Mature 17+,Dating,2018-04-29,2.4.0,4.1 and up,500000.0,0.0,15.0,Dating
Black White Interracial Dating - Interracial Match,DATING,4.1,535,28M,"100,000+",Free,0,Mature 17+,Dating,2018-03-29,2.0.0,4.1 and up,100000.0,0.0,28.0,Dating
"USA Singles Meet, Match and Date Free - Date",DATING,4.2,5084,9.6M,"100,000+",Free,0,Mature 17+,Dating,2018-08-03,1.55,4.1 and up,100000.0,0.0,9.6,Dating
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430,13M,"500,000+",Free,0,Mature 17+,Dating,2018-07-26,12.0.4,4.1 and up,500000.0,0.0,13.0,Dating
The League,DATING,3.0,837,9.4M,"100,000+",Free,0,Mature 17+,Dating,2018-07-16,1.15.0,4.4 and up,100000.0,0.0,9.4,Dating
"Herpes Dating: 1,000K+ Singles",DATING,4.0,738,27M,"10,000+",Free,0,Mature 17+,Dating,2018-08-01,6.4.1,4.1 and up,10000.0,0.0,27.0,Dating
Heart mill,DATING,3.3,4631,45M,"100,000+",Free,0,Mature 17+,Dating,2018-08-04,5.2.14,5.0 and up,100000.0,0.0,45.0,Dating
95Live -SG#1 Live Streaming App,DATING,4.1,4953,15M,"1,000,000+",Free,0,Teen,Dating,2018-08-01,8.7.2,4.2 and up,1000000.0,0.0,15.0,Dating
Mutual - LDS Dating,DATING,3.7,1439,38M,"50,000+",Free,0,Mature 17+,Dating,2018-07-30,1.1.46,4.2 and up,50000.0,0.0,38.0,Dating
2RedBeans,DATING,4.0,337,32M,"10,000+",Free,0,Mature 17+,Dating,2018-07-31,2.8.0,4.3 and up,10000.0,0.0,32.0,Dating
"SweetRing - Meet, Match, Date",DATING,4.0,51698,63M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-26,3.0.0,4.0.3 and up,1000000.0,0.0,63.0,Dating
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44M,"100,000+",Free,0,Mature 17+,Dating,2018-08-02,3.4.1.1,4.1 and up,100000.0,0.0,44.0,Dating
SilverSingles: The 50+ Dating App,DATING,3.3,149,16M,"10,000+",Free,0,Mature 17+,Dating,2018-07-31,4.8.5,4.0.3 and up,10000.0,0.0,16.0,Dating
Herpes Positive Singles Dating,DATING,4.4,198,28M,"10,000+",Free,0,Mature 17+,Dating,2018-05-18,5.5.7,4.1 and up,10000.0,0.0,28.0,Dating
Glam - Premium Dating App,DATING,4.3,23170,9.0M,"500,000+",Free,0,Mature 17+,Dating,2018-07-25,1.5.4.0,4.1 and up,500000.0,0.0,9.0,Dating
"iDates - Chats, Flirts, Dating, Love & Relations",DATING,3.4,13890,20M,"500,000+",Free,0,Mature 17+,Dating,2018-06-19,4.9.2 (Oasis),4.2 and up,500000.0,0.0,20.0,Dating
JustDating,DATING,4.0,13440,49M,"500,000+",Free,0,Mature 17+,Dating,2018-08-03,3.10.5,4.0.3 and up,500000.0,0.0,49.0,Dating
Interracial Match Dating App,DATING,3.6,143,27M,"10,000+",Free,0,Mature 17+,Dating,2018-07-23,2.2.7,4.1 and up,10000.0,0.0,27.0,Dating
Russian Dating & Chat for Russian speaking RusDate,DATING,4.2,1059,18M,"100,000+",Free,0,Mature 17+,Dating,2018-07-26,1.17,4.2 and up,100000.0,0.0,18.0,Dating
Sky People (SPI): A secure blind date through authentication by Seoul National University,DATING,3.5,894,14M,"100,000+",Free,0,Mature 17+,Dating,2018-07-17,3.1.3,4.1 and up,100000.0,0.0,14.0,Dating
Sweet mi - unlimited hunnam hunting blind date,DATING,4.0,6191,27M,"500,000+",Free,0,Mature 17+,Dating,2018-07-12,0.0.73,4.1 and up,500000.0,0.0,27.0,Dating
Mingle - Online Dating App to Chat & Meet People,DATING,4.1,15081,38M,"1,000,000+",Free,0,Mature 17+,Dating,2018-07-26,4.7.6,4.1 and up,1000000.0,0.0,38.0,Dating
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,"10,000+",Free,0,Mature 17+,Dating,2018-07-23,5.2.9,4.1 and up,10000.0,0.0,27.0,Dating
Hitwe - meet people and chat,DATING,4.2,243950,21M,"10,000,000+",Free,0,Mature 17+,Dating,2018-05-10,4.3.2,4.1 and up,10000000.0,0.0,21.0,Dating
A hundred,DATING,4.1,236,8.8M,"10,000+",Free,0,Mature 17+,Dating,2018-03-29,3.9.2,4.0.3 and up,10000.0,0.0,8.8,Dating
JustSayHi- Dating App. Chat & Meet Singles Nearby,DATING,4.2,5152,38M,"100,000+",Free,0,Mature 17+,Dating,2018-07-26,3.6.3,4.1 and up,100000.0,0.0,38.0,Dating
FERZU - Furries Social Network,DATING,3.9,1576,Varies with device,"10,000+",Free,0,Mature 17+,Dating,2018-02-16,4.4.1,4.1 and up,10000.0,0.0,,Dating
WannaMeet – Dating & Chat App,DATING,4.1,6701,11M,"1,000,000+",Free,0,Mature 17+,Dating,2018-06-29,5.16.2,4.0.3 and up,1000000.0,0.0,11.0,Dating
Luxy Pro- Elite Dating Single,DATING,3.9,742,26M,"50,000+",Free,0,Mature 17+,Dating,2018-04-07,5.3.3.13289,4.0.3 and up,50000.0,0.0,26.0,Dating
Dating Network,DATING,4.0,187,19M,"10,000+",Free,0,Mature 17+,Dating,2018-07-26,1.17,4.2 and up,10000.0,0.0,19.0,Dating
"Chatting - Free chat, random chat, boyfriend, girlfriend",DATING,4.2,2506,6.1M,"500,000+",Free,0,Mature 17+,Dating,2017-06-15,3.0.0,4.0 and up,500000.0,0.0,6.1,Dating
"iPair-Meet, Chat, Dating",DATING,4.5,182986,77M,"5,000,000+",Free,0,Mature 17+,Dating,2018-08-02,5.0.8,4.1 and up,5000000.0,0.0,77.0,Dating
"Meet, chat & date. Free dating app - Chocolate app",DATING,3.9,8661,9.5M,"1,000,000+",Free,0,Mature 17+,Dating,2018-04-03,0.1.11,4.0 and up,1000000.0,0.0,9.5,Dating
Transenger – Ts Dating and Chat for Free,DATING,3.6,8,14M,"1,000+",Free,0,Mature 17+,Dating,2018-07-29,1.4.0,4.4 and up,1000.0,0.0,14.0,Dating
O-Star,DATING,4.4,59,38M,"5,000+",Free,0,Everyone,Dating,2018-07-19,1.0.1,4.3 and up,5000.0,0.0,38.0,Dating
Free Cam Girls - Live Webcam,DATING,3.5,35,16M,"1,000+",Free,0,Mature 17+,Dating,2018-07-16,2.4,4.0.3 and up,1000.0,0.0,16.0,Dating
Cardi B Live Stream Video Chat - Prank,DATING,4.4,28,3.4M,500+,Free,0,Everyone,Dating,2018-07-16,2.5,4.0.3 and up,500.0,0.0,3.4,Dating
Live Girls Talk - Free Video Chat,DATING,4.8,125,4.7M,"5,000+",Free,0,Mature 17+,Dating,2018-07-08,8.2,4.0.3 and up,5000.0,0.0,4.7,Dating
Live Talk - Free Text and Video Chat,DATING,4.6,185,5.0M,"10,000+",Free,0,Mature 17+,Dating,2018-07-16,8.2,4.0.3 and up,10000.0,0.0,5.0,Dating
Chat Kids - Chat Room For Kids,DATING,4.7,6,4.9M,100+,Free,0,Mature 17+,Dating,2018-07-24,1.0,4.0.3 and up,100.0,0.0,4.9,Dating
Girls Live Chat - Free Text & Video Chat,DATING,4.8,110,4.9M,"10,000+",Free,0,Mature 17+,Dating,2018-07-09,8.2,4.0.3 and up,10000.0,0.0,4.9,Dating
Random Video Chat,DATING,,3,16M,"1,000+",Free,0,Mature 17+,Dating,2018-07-15,4.20,4.0.3 and up,1000.0,0.0,16.0,Dating
MouseMingle,DATING,2.7,3,3.9M,100+,Free,0,Mature 17+,Dating,2018-07-17,1.0.0,4.4 and up,100.0,0.0,3.9,Dating
American Girls Mobile Numbers,DATING,5.0,5,4.4M,"1,000+",Free,0,Mature 17+,Dating,2018-07-17,3.0,4.0.3 and up,1000.0,0.0,4.4,Dating
Random Video Chat App With Strangers,DATING,,3,4.8M,"1,000+",Free,0,Mature 17+,Dating,2018-07-17,1.,4.0 and up,1000.0,0.0,4.8,Dating
FREE VIDEO CHAT - LIVE VIDEO AND TEXT CHAT,DATING,4.8,84,4.5M,"1,000+",Free,0,Mature 17+,Dating,2018-07-06,8.2,4.0.3 and up,1000.0,0.0,4.5,Dating
Awake Dating,DATING,5.0,2,70M,100+,Free,0,Mature 17+,Dating,2018-07-24,2.2.9,4.4 and up,100.0,0.0,70.0,Dating
Live Chat - Free Video Chat Rooms,DATING,4.8,20,4.9M,500+,Free,0,Mature 17+,Dating,2018-07-15,8.2,4.0.3 and up,500.0,0.0,4.9,Dating
Meet With Strangers: Video Chat & Dating,DATING,,2,3.7M,500+,Free,0,Mature 17+,Dating,2018-07-16,1.,4.0 and up,500.0,0.0,3.7,Dating
FREE LIVE TALK,DATING,4.9,776,4.9M,"5,000+",Free,0,Mature 17+,Dating,2018-07-14,8.2,4.0.3 and up,5000.0,0.0,4.9,Dating
Random Chat App with Strangers,DATING,3.0,2,16M,100+,Free,0,Mature 17+,Dating,2018-07-17,2.5,4.0.3 and up,100.0,0.0,16.0,Dating
Ost. Zombies Cast - New Music and Lyrics,DATING,,1,4.6M,100+,Free,0,Teen,Dating,2018-07-20,1.0,4.0.3 and up,100.0,0.0,4.6,Dating
Dating White Girls,DATING,,0,3.6M,50+,Free,0,Mature 17+,Dating,2018-07-20,1.0,4.0 and up,50.0,0.0,3.6,Dating
Live Chat - Free Video Talk,DATING,4.7,14,21M,"5,000+",Free,0,Mature 17+,Dating,2018-08-03,1.3,4.1 and up,5000.0,0.0,21.0,Dating
Geeks Dating,DATING,,0,13M,50+,Free,0,Mature 17+,Dating,2018-07-10,1.0,4.1 and up,50.0,0.0,13.0,Dating
Live chat - free video chat,DATING,,1,8.7M,500+,Free,0,Mature 17+,Dating,2018-07-23,3.52,4.0.3 and up,500.0,0.0,8.7,Dating
House party - live chat,DATING,1.0,1,9.2M,10+,Free,0,Mature 17+,Dating,2018-07-31,3.52,4.0.3 and up,10.0,0.0,9.2,Dating
Fishing Brain & Boating Maps Marine,DATING,,3,6.9M,500+,Free,0,Everyone,Dating,2018-07-23,1.0,4.0.3 and up,500.0,0.0,6.9,Dating
CAM5678 Video Chat,DATING,,0,39M,500+,Free,0,Mature 17+,Dating,2018-07-13,5.5.8,4.0.3 and up,500.0,0.0,39.0,Dating
Video chat live advices,DATING,,0,8.0M,100+,Free,0,Everyone,Dating,2018-07-10,1.0,3.0 and up,100.0,0.0,8.0,Dating
chat live chat,DATING,,24,3.9M,"1,000+",Free,0,Mature 17+,Dating,2018-07-26,1.0,4.0 and up,1000.0,0.0,3.9,Dating
Pet Lovers Dating,DATING,,0,14M,10+,Free,0,Mature 17+,Dating,2018-07-09,1.0,4.1 and up,10.0,0.0,14.0,Dating
Friend Find: free chat + flirt dating app,DATING,,23,11M,100+,Free,0,Mature 17+,Dating,2018-07-31,1.0,4.4 and up,100.0,0.0,11.0,Dating
Latin Dating,DATING,,0,13M,10+,Free,0,Mature 17+,Dating,2018-07-09,1.0,4.1 and up,10.0,0.0,13.0,Dating
Spine- The dating app,DATING,5.0,5,9.3M,500+,Free,0,Teen,Dating,2018-07-14,4.0,4.0.3 and up,500.0,0.0,9.3,Dating
Online Chat Girls Meet,DATING,4.7,18,5.0M,500+,Free,0,Mature 17+,Dating,2018-07-25,8.2,4.0.3 and up,500.0,0.0,5.0,Dating
Wifi Mingle,DATING,,0,10.0M,10+,Free,0,Everyone,Dating,2018-07-27,1.3,4.4 and up,10.0,0.0,10.0,Dating
Girls Live Talk - Free Text and Video Chat,DATING,5.0,6,5.0M,100+,Free,0,Mature 17+,Dating,2018-08-01,8.2,4.0.3 and up,100.0,0.0,5.0,Dating
Soy Luna - Top Music And Lyrics,DATING,,1,5.0M,100+,Free,0,Teen,Dating,2018-07-24,1.0,4.0.3 and up,100.0,0.0,5.0,Dating
When Will You Get Married,DATING,,2,3.6M,10+,Free,0,Everyone,Dating,2018-07-14,1.0,4.0.3 and up,10.0,0.0,3.6,Dating
HOW TO ASK A GIRL OUT,DATING,,0,19M,10+,Free,0,Everyone,Dating,2018-07-16,1.0,4.0.3 and up,10.0,0.0,19.0,Dating
Online Girls Chat Group,DATING,5.0,5,5.0M,100+,Free,0,Mature 17+,Dating,2018-08-02,8.2,4.0.3 and up,100.0,0.0,5.0,Dating
The DJ - Match with People,DATING,,0,9.8M,50+,Free,0,Mature 17+,Dating,2018-08-02,1.2,4.1 and up,50.0,0.0,9.8,Dating
Toronto Dating,DATING,,0,14M,100+,Free,0,Mature 17+,Dating,2018-07-12,1.0,4.1 and up,100.0,0.0,14.0,Dating
i miss you quotes and photos,DATING,,0,5.0M,100+,Free,0,Everyone,Dating,2018-07-22,1.0.7,4.0 and up,100.0,0.0,5.0,Dating
JoJo Siwa Top Hits Music,DATING,,0,4.9M,10+,Free,0,Teen,Dating,2018-07-26,1.0,4.0.3 and up,10.0,0.0,4.9,Dating
UK Girls Mobile Numbers,DATING,3.0,1,5.5M,500+,Free,0,Mature 17+,Dating,2018-07-19,1.0,4.0.3 and up,500.0,0.0,5.5,Dating
chat saudi arabia,DATING,4.1,11,11M,"1,000+",Free,0,Mature 17+,Dating,2018-07-14,1.1,4.0 and up,1000.0,0.0,11.0,Dating
Chat Click - Dating Search,DATING,,4,3.8M,500+,Free,0,Mature 17+,Dating,2018-07-11,1.0,3.0 and up,500.0,0.0,3.8,Dating
Iraq love chat,DATING,,14,5.0M,50+,Free,0,Teen,Dating,2018-08-03,8.2,4.0.3 and up,50.0,0.0,5.0,Dating
Healthy Relationships Guide,DATING,,0,8.2M,1+,Free,0,Everyone,Dating,2018-07-31,2.0,4.0.3 and up,1.0,0.0,8.2,Dating
following,DATING,,1,21M,10+,Free,0,Mature 17+,Dating,2018-07-24,1.0.3,4.2 and up,10.0,0.0,21.0,Dating
Gods by Night,DATING,,104,12M,"1,000+",Free,0,Mature 17+,Dating,2018-07-22,3.5.4.2.3,4.1 and up,1000.0,0.0,12.0,Dating
PlusOne,DATING,,0,10M,1+,Free,0,Mature 17+,Dating,2018-07-17,1.1.1,4.2 and up,1.0,0.0,10.0,Dating
Love Calendar - Couple Sharing Calendar & CoupleDay,DATING,,14,3.3M,50+,Free,0,Everyone,Dating,2018-07-30,1.6,4.1 and up,50.0,0.0,3.3,Dating
Speeding Joyride & Car Meet App,DATING,5.0,3,25M,100+,Free,0,Mature 17+,Dating,2018-07-20,1.2.9,4.1 and up,100.0,0.0,25.0,Dating
LOBSTR - go on a lunch date,DATING,3.7,101,15M,"10,000+",Free,0,Mature 17+,Dating,2018-07-24,2,4.1 and up,10000.0,0.0,15.0,Dating
Titanic App - Feminist Dating Application,DATING,4.5,120,10M,500+,Free,0,Mature 17+,Dating,2018-08-04,1.5-beta,5.0 and up,500.0,0.0,10.0,Dating
French Chat Room,DATING,4.2,24,4.9M,"1,000+",Free,0,Mature 17+,Dating,2018-07-11,1.0,4.0.3 and up,1000.0,0.0,4.9,Dating
Soul Mate,DATING,,0,4.4M,10+,Free,0,Mature 17+,Dating,2018-07-19,4.5.0,4.0.3 and up,10.0,0.0,4.4,Dating
Diamond Engagement Rings,DATING,,0,3.5M,5+,Free,0,Everyone,Dating,2018-07-12,6.1,4.0 and up,5.0,0.0,3.5,Dating
Dating Tips For Men,DATING,,0,7.8M,10+,Free,0,Everyone,Dating,2018-07-09,3.0,4.0.3 and up,10.0,0.0,7.8,Dating
Halalguur,DATING,4.3,6,9.0M,100+,Free,0,Mature 17+,Dating,2018-07-26,3.7,4.0.3 and up,100.0,0.0,9.0,Dating
Find Lover,DATING,,21,4.7M,"1,000+",Free,0,Mature 17+,Dating,2018-07-27,1.0.2,4.0.3 and up,1000.0,0.0,4.7,Dating
"2Date Dating App, Love and matching",DATING,4.4,41605,8.1M,"500,000+",Free,0,Mature 17+,Dating,2018-07-26,4.813,4.0.3 and up,500000.0,0.0,8.1,Dating
Teenage Chat & Dating,DATING,3.4,5,14M,500+,Free,0,Mature 17+,Dating,2018-07-09,1.2,4.1 and up,500.0,0.0,14.0,Dating
